,week,channel,cost,impressions,clicks,applications
104,2022-07-04,affiliates,36095.824400954996,1777397.1793623164,58550.28209774951,2142
105,2022-07-04,facebook,43172.0336322907,1891406.619884918,76914.36582284918,2142
106,2022-07-04,google,20069.80208499002,964824.2661011453,58437.077412677645,2142
107,2022-07-04,tv,120000.0,6635645.447540205,,2142
108,2022-07-11,affiliates,38614.18080947869,2104395.601704755,66365.26685183622,1956
109,2022-07-11,facebook,38821.27048611157,2105976.6883756826,66938.632105428,1956
110,2022-07-11,google,20280.991867735036,950904.7738991319,56064.7642268511,1956
111,2022-07-11,tv,120000.0,5526719.10272752,,1956
112,2022-07-18,affiliates,39958.1968120717,2021350.7939720734,73553.56857682309,2120
113,2022-07-18,facebook,38879.63791960606,2089254.4199144505,69053.72647163962,2120
114,2022-07-18,google,20812.862118838962,1106164.9973069502,61784.87351829656,2120
115,2022-07-18,tv,0.0,0.0,,2120
116,2022-07-25,affiliates,41627.01927200128,2353066.920923076,70839.12485248405,1912
117,2022-07-25,facebook,39564.63759354556,2195595.419402528,74929.26435676623,1912
118,2022-07-25,google,19408.42861116417,1023512.9328871763,60376.041999726316,1912
119,2022-07-25,tv,0.0,0.0,,1912
120,2022-08-01,affiliates,38363.55863353305,2319535.041350741,57918.58839753985,1786
121,2022-08-01,facebook,39739.71389126463,2006258.6540503202,66157.95428551787,1786
122,2022-08-01,google,20681.952971294962,1002013.0362226376,61744.87672884906,1786
123,2022-08-01,tv,0.0,0.0,,1786
124,2022-08-08,affiliates,38205.491257028334,1924755.3147779834,51225.80642735404,1863
125,2022-08-08,facebook,41248.239634104306,2192002.7124009468,65625.85657553542,1863
126,2022-08-08,google,18785.811387212267,1048070.831535873,67032.8427819407,1863
127,2022-08-08,tv,0.0,0.0,,1863
128,2022-08-15,affiliates,40487.37442298383,2073958.987577158,56961.87285355545,1744
129,2022-08-15,facebook,40825.86290855125,1926220.4388727653,49867.724510192405,1744
130,2022-08-15,google,20975.119733417752,1033333.2557474364,57734.92681498624,1744
131,2022-08-15,tv,80000.0,3794313.061342084,,1744
132,2022-08-22,affiliates,42950.7124338991,2331721.080906536,68086.97221737145,1551
133,2022-08-22,facebook,38563.111557495125,1886999.6462592885,59543.40171929252,1551
134,2022-08-22,google,19528.961694381676,999106.5564082887,52712.44058538654,1551
135,2022-08-22,tv,80000.0,3099223.1843990046,,1551
136,2022-08-29,affiliates,43065.47782600515,2129854.8524916484,68173.58387782548,1434
137,2022-08-29,facebook,40645.43712067618,1864156.0395316412,60765.39589161117,1434
138,2022-08-29,google,19980.98379209731,898891.5746752172,53850.28797069115,1434
139,2022-08-29,tv,80000.0,3815258.4710911117,,1434
140,2022-09-05,affiliates,40995.9965824909,2347255.2210538904,81675.92390628261,1480
141,2022-09-05,facebook,40195.352197097665,1854410.6072855191,55859.57785422657,1480
142,2022-09-05,google,20690.143991711113,993000.6529068545,60692.65907815758,1480
143,2022-09-05,tv,80000.0,4008059.136500349,,1480
144,2022-09-12,affiliates,38801.214709111955,1528012.0653620493,41823.56187809703,1506
145,2022-09-12,facebook,44379.60586643534,2039620.4966888814,52625.04549652016,1506
146,2022-09-12,google,22153.182457511557,1022663.1700306489,65820.24113999854,1506
147,2022-09-12,tv,80000.0,4117338.883672545,,1506
148,2022-09-19,affiliates,40983.83834301301,1778650.7954925925,69647.15181877141,1527
149,2022-09-19,facebook,41900.847676372105,1974178.6228193424,50357.2034915643,1527
150,2022-09-19,google,19240.8673384463,976511.9013928917,60259.35797216618,1527
151,2022-09-19,tv,80000.0,5200749.337098167,,1527
152,2022-09-26,affiliates,38801.249954092455,1941079.8082218699,58688.35965633117,1282
153,2022-09-26,facebook,39770.920309494766,2234691.484981185,49225.47498680425,1282
154,2022-09-26,google,21179.440120721287,1009287.6178868045,51912.02973327944,1282
155,2022-09-26,tv,80000.0,4866478.319465864,,1282
156,2022-10-03,affiliates,37750.715816324264,1597966.250370031,58147.40971247022,1345
157,2022-10-03,facebook,40240.5912634238,2115536.177428142,70993.32041781009,1345
158,2022-10-03,google,19549.934528520756,1038380.1034184737,56759.827145738556,1345
159,2022-10-03,tv,80000.0,3908877.129586372,,1345
160,2022-10-10,affiliates,43510.681684886404,2121371.0851672115,73946.44516773125,1496
161,2022-10-10,facebook,42358.59436812765,2132229.658238396,85936.82896508489,1496
162,2022-10-10,google,20332.31401197959,940523.384123945,63725.87657398162,1496
163,2022-10-10,tv,120000.0,6111047.648921144,,1496
164,2022-10-17,affiliates,35921.5356444798,1747689.2461921568,58700.88180648003,1493
165,2022-10-17,facebook,42116.848973699176,1735479.622016141,41796.783478941325,1493
166,2022-10-17,google,20645.37594958515,1173548.3626878655,64750.980024857476,1493
167,2022-10-17,tv,120000.0,6658609.401598502,,1493
168,2022-10-24,affiliates,39934.61050381181,1583918.0501692146,46811.74730899594,1642
169,2022-10-24,facebook,36593.23512128969,1819498.4060336316,58078.98454179725,1642
170,2022-10-24,google,21502.357052096027,1083083.9147262145,73804.67138697948,1642
171,2022-10-24,tv,120000.0,4675102.600113704,,1642
172,2022-10-31,affiliates,41910.28464100247,1888953.9361502605,61429.221331959096,1524
173,2022-10-31,facebook,38972.26616532661,1742213.5517614845,51720.404689437055,1524
174,2022-10-31,google,18695.530499495148,997375.9427813906,61670.737923497676,1524
175,2022-10-31,tv,120000.0,5097715.405125739,,1524
176,2022-11-07,affiliates,43929.45026583278,2204218.055554332,58414.80367338405,1442
177,2022-11-07,facebook,37929.51535516125,1791477.5186153613,43014.468985364496,1442
178,2022-11-07,google,19469.74238162756,896301.9701536817,53298.46059675326,1442
179,2022-11-07,tv,0.0,0.0,,1442
180,2022-11-14,affiliates,38848.36351871064,1888991.634348605,34928.19991488056,1593
181,2022-11-14,facebook,41228.33340008685,2217570.5721191755,60644.99849649248,1593
182,2022-11-14,google,20213.979910734222,999346.0108373992,58856.635211194625,1593
183,2022-11-14,tv,0.0,0.0,,1593
184,2022-11-21,affiliates,46157.76161691047,2566273.440216878,75346.84561873831,1934
185,2022-11-21,facebook,39501.92792088725,2088971.954028935,65920.12283851115,1934
186,2022-11-21,google,18484.80893780145,1050572.4952686192,71675.13889316394,1934
187,2022-11-21,tv,0.0,0.0,,1934
188,2022-11-28,affiliates,37836.903992771215,2211026.279980799,76077.43175987958,1555
189,2022-11-28,facebook,38487.29850943139,1650671.4100844103,44183.74542975753,1555
190,2022-11-28,google,19044.459559399573,799253.4680675206,48768.303167013764,1555
191,2022-11-28,tv,0.0,0.0,,1555
192,2022-12-05,affiliates,37925.507691347084,1860181.9295692504,47661.41162634094,2057
193,2022-12-05,facebook,38277.43159734347,2205377.9682769543,72103.8407344352,2057
194,2022-12-05,google,19992.027358683383,1147536.7865042319,69296.12208593001,2057
195,2022-12-05,tv,0.0,0.0,,2057
196,2022-12-12,affiliates,39025.7492324706,1835694.3779526036,47140.7163460572,2118
197,2022-12-12,facebook,37202.864852361716,1964863.5847612687,52553.78808902308,2118
198,2022-12-12,google,18617.200269035664,1017074.1778871875,70734.5424724826,2118
199,2022-12-12,tv,0.0,0.0,,2118
200,2022-12-19,affiliates,38846.457338863336,2089044.2320841262,67903.51777031635,1906
201,2022-12-19,facebook,39899.52378110173,1947306.6226631156,49582.6750319835,1906
202,2022-12-19,google,20048.52162794483,919129.4744941917,56390.69267041345,1906
203,2022-12-19,tv,0.0,0.0,,1906
204,2022-12-26,affiliates,41141.19733718632,1900052.8889656656,39854.72942091977,1943
205,2022-12-26,facebook,36661.18943775725,1932660.6266167476,51576.6845526253,1943
206,2022-12-26,google,19022.44475520145,960569.9542222437,61242.99672683673,1943
207,2022-12-26,tv,0.0,0.0,,1943
208,2023-01-02,affiliates,37577.96760047509,1756424.9993247075,53109.01103591585,2100
209,2023-01-02,facebook,41277.184917554754,1720944.891605223,51059.748288554685,2100
210,2023-01-02,google,18372.457562116837,923040.0713154062,56581.075661480434,2100
211,2023-01-02,tv,120000.0,5131856.039899767,,2100
212,2023-01-09,affiliates,42883.1372413158,1614197.5105122805,41994.193627770954,2200
213,2023-01-09,facebook,41671.384224130285,1848186.9692011576,60341.49496529151,2200
214,2023-01-09,google,19139.586634716048,920178.1609625668,59840.532990618005,2200
215,2023-01-09,tv,120000.0,5446183.805257778,,2200
216,2023-01-16,affiliates,40508.84168660243,2093821.5482850207,58502.662114003215,2339
217,2023-01-16,facebook,40173.179574945796,1977388.7310816043,70867.45737787486,2339
218,2023-01-16,google,20577.07212718054,1007963.2085905377,62348.29944232467,2339
219,2023-01-16,tv,120000.0,5420174.220752813,,2339
220,2023-01-23,affiliates,39347.95293566432,2203724.191158074,61615.297878024976,2028
221,2023-01-23,facebook,40579.549713792825,2450071.6351130307,84173.73868601213,2028
222,2023-01-23,google,19512.393775927507,933418.4603376852,57846.05217733937,2028
223,2023-01-23,tv,120000.0,5595854.898412548,,2028
224,2023-01-30,affiliates,39561.79894238227,2142153.8313414683,40581.65507121583,1948
225,2023-01-30,facebook,40036.836758379104,2337438.0729550617,73944.00464128968,1948
226,2023-01-30,google,17961.875464822147,807558.1693686554,40899.62366705277,1948
227,2023-01-30,tv,120000.0,5662547.055320343,,1948
228,2023-02-06,affiliates,44541.38571560879,2267572.160856508,70841.45528192585,2196
229,2023-02-06,facebook,40676.99281498883,1949386.3232999686,64649.27127609817,2196
230,2023-02-06,google,20235.614558108566,1089775.3826042197,57329.88849771286,2196
231,2023-02-06,tv,120000.0,7098003.881478652,,2196
232,2023-02-13,affiliates,40667.3242105739,2244336.0770014785,61606.84129098393,2264
233,2023-02-13,facebook,40143.13247443878,1911283.2929074676,61915.829480168075,2264
234,2023-02-13,google,19540.639100459757,893999.4444466415,57351.565460272,2264
235,2023-02-13,tv,120000.0,5178159.527127488,,2264
236,2023-02-20,affiliates,42711.275717609904,2223855.4465948497,87584.27634736379,1989
237,2023-02-20,facebook,41513.97723329071,1884285.110298335,64721.48074436195,1989
238,2023-02-20,google,19730.12506470663,889950.600629422,51420.040769463616,1989
239,2023-02-20,tv,120000.0,6362208.473323058,,1989
240,2023-02-27,affiliates,37749.02190540325,2349074.8205388575,71989.9957404571,1882
241,2023-02-27,facebook,41308.731312708114,2053955.904456679,64493.89319916147,1882
242,2023-02-27,google,19226.210800896428,841660.5715438589,43014.24078608448,1882
243,2023-02-27,tv,120000.0,7436202.539029616,,1882
244,2023-03-06,affiliates,42690.84009230996,2474614.382190844,67913.12313923516,2313
245,2023-03-06,facebook,38419.05108910938,2011519.3889540003,79274.22549434961,2313
246,2023-03-06,google,20109.39479460489,1078443.3775738762,67300.30875702435,2313
247,2023-03-06,tv,120000.0,6214928.663307967,,2313
248,2023-03-13,affiliates,39146.23786010516,1759211.4999393197,38220.13055869173,2080
249,2023-03-13,facebook,36615.07074057036,2110776.5027700798,61655.69828523935,2080
250,2023-03-13,google,19010.39517974142,938563.4636893866,56575.31465482052,2080
251,2023-03-13,tv,120000.0,7050423.857732111,,2080
252,2023-03-20,affiliates,36993.71409376379,1804230.961421585,51666.647300406716,2211
253,2023-03-20,facebook,39328.43060141974,2294621.5162190855,65860.32598525599,2211
254,2023-03-20,google,20823.170583961917,1048792.091886263,56163.02156072125,2211
255,2023-03-20,tv,120000.0,4756724.378818929,,2211
256,2023-03-27,affiliates,37786.94818251666,2375544.4768277016,71969.71442407856,1955
257,2023-03-27,facebook,43697.91218989069,2431038.308181432,69662.75570856528,1955
258,2023-03-27,google,17303.113357058428,860458.3167026012,50633.95131649674,1955
259,2023-03-27,tv,120000.0,6668358.110220882,,1955
260,2023-04-03,affiliates,38913.150457732474,1806962.146914241,55170.441371060835,2202
261,2023-04-03,facebook,38852.67598623953,1836399.1330410216,54791.23360608606,2202
262,2023-04-03,google,20013.929291912948,998282.2756577431,60885.65906822686,2202
263,2023-04-03,tv,120000.0,5861414.004553015,,2202
264,2023-04-10,affiliates,39257.11826800842,1686581.6480847085,44038.19268821722,2074
265,2023-04-10,facebook,42492.17038499526,1684094.2640994028,47637.23686513839,2074
266,2023-04-10,google,19745.022782579144,1135733.0182509795,53090.01138616668,2074
267,2023-04-10,tv,120000.0,7047846.577845564,,2074
268,2023-04-17,affiliates,40978.74912245584,1798531.1117419936,60367.682648701004,2473
269,2023-04-17,facebook,41443.344128086464,1838208.8009394174,50325.375179449686,2473
270,2023-04-17,google,18889.424154534172,1109968.105923121,71790.95222436264,2473
271,2023-04-17,tv,120000.0,7220692.891194392,,2473
272,2023-04-24,affiliates,41231.871213888524,2183866.9341211645,62135.9668566711,2203
273,2023-04-24,facebook,39278.06766836184,2191584.5557505395,53901.328209735075,2203
274,2023-04-24,google,19759.674601841867,950952.0441361952,60437.56682348229,2203
275,2023-04-24,tv,80000.0,4284328.519351065,,2203
276,2023-05-01,affiliates,37183.07740727288,1569752.5550958517,51849.0050005672,2158
277,2023-05-01,facebook,38954.55395896192,2152046.130404656,56982.483343602275,2158
278,2023-05-01,google,20326.13302224212,889155.1462144023,57457.32566970899,2158
279,2023-05-01,tv,80000.0,3881662.632676487,,2158
280,2023-05-08,affiliates,40798.27222870415,2032236.4572613311,72177.94525783502,2228
281,2023-05-08,facebook,40422.03493440524,2001555.0427870618,54593.22355304498,2228
282,2023-05-08,google,18719.570647503715,1100223.5006826099,54560.47173437708,2228
283,2023-05-08,tv,80000.0,5085732.075705624,,2228
284,2023-05-15,affiliates,41486.52818804543,2109769.4784785593,61352.27221642909,2205
285,2023-05-15,facebook,40615.60353778412,1683482.569794251,39156.24379899916,2205
286,2023-05-15,google,20114.227648662036,1020827.4016632972,59393.71755076126,2205
287,2023-05-15,tv,80000.0,3963554.800818517,,2205
288,2023-05-22,affiliates,36594.83279152432,2018050.531898149,65310.1439607313,2230
289,2023-05-22,facebook,40391.69051019537,1821993.8733246357,58378.9862981374,2230
290,2023-05-22,google,20018.433933065393,1035711.9036788937,59347.536590622025,2230
291,2023-05-22,tv,80000.0,3501884.97574252,,2230
292,2023-05-29,affiliates,40052.18210042167,2106275.9717898597,55545.195377094315,2670
293,2023-05-29,facebook,36318.251537336706,1583552.5861703875,42559.41221212515,2670
294,2023-05-29,google,20256.029734313877,1112328.5756679063,76002.48862317616,2670
295,2023-05-29,tv,80000.0,4649196.841611604,,2670
296,2023-06-05,affiliates,42107.283593215674,1905481.1383851313,82244.20601940871,2150
297,2023-06-05,facebook,38153.53350777819,1649818.955927256,41444.497721095686,2150
298,2023-06-05,google,20186.766764477077,933094.6428574375,53132.65864152757,2150
299,2023-06-05,tv,80000.0,3099736.898017138,,2150
300,2023-06-12,affiliates,39807.8802005507,2219144.6844798783,58772.08940404796,2262
301,2023-06-12,facebook,38848.724347524454,1966135.8456604737,84151.4452628713,2262
302,2023-06-12,google,20493.317900880887,1043605.4222562723,58137.39116721147,2262
303,2023-06-12,tv,80000.0,4448198.322821754,,2262
304,2023-06-19,affiliates,41945.10889925346,2227664.877861878,49340.27404160396,2421
305,2023-06-19,facebook,41415.50387091095,1954300.9688740082,64808.604352018374,2421
306,2023-06-19,google,19965.011509503038,1175020.8508326432,66817.75422152948,2421
307,2023-06-19,tv,120000.0,7739950.615677051,,2421
308,2023-06-26,affiliates,41221.17149056764,2176434.6647931174,77054.2831244802,2047
309,2023-06-26,facebook,40355.4020018665,1748328.3080599713,55773.4025696856,2047
310,2023-06-26,google,19272.862824175132,939791.1776617009,56037.711259745396,2047
311,2023-06-26,tv,120000.0,6595845.213648651,,2047
312,2023-07-03,affiliates,37446.50284835938,1669916.2083197911,58890.871347687986,2374
313,2023-07-03,facebook,40859.236438265165,2085391.6234888283,65393.48986568518,2374
314,2023-07-03,google,20833.9221545489,1089528.7178552693,64989.48528310144,2374
315,2023-07-03,tv,120000.0,4405477.503824648,,2374
316,2023-07-10,affiliates,39075.44942258991,1868881.7943328077,53177.42306565545,2135
317,2023-07-10,facebook,41876.567611952,1985777.4708376687,60527.69649177415,2135
318,2023-07-10,google,19960.444846143346,1066037.5277197398,64113.193921580154,2135
319,2023-07-10,tv,120000.0,6028565.893915913,,2135
320,2023-07-17,affiliates,40393.10955302315,2228052.5252733836,50292.04305524603,2140
321,2023-07-17,facebook,39626.256711677284,1894188.3565875143,70529.8940015378,2140
322,2023-07-17,google,20222.133771633715,962700.0952303653,63806.58842220063,2140
323,2023-07-17,tv,80000.0,3427451.326579517,,2140
324,2023-07-24,affiliates,39274.32287912068,1876232.0946112524,69921.3958472277,2053
325,2023-07-24,facebook,38965.423099799256,2222850.2514972137,92236.03890618403,2053
326,2023-07-24,google,20267.050265869257,1103503.4735582902,66664.21175341573,2053
327,2023-07-24,tv,80000.0,4681907.440041825,,2053
328,2023-07-31,affiliates,38464.40486979174,1916549.5757330456,59740.90800335785,1864
329,2023-07-31,facebook,37311.09897793145,1694175.380388866,42319.308584285216,1864
330,2023-07-31,google,21579.572145730715,1022563.1288961724,59205.45000171802,1864
331,2023-07-31,tv,80000.0,3819657.8503292757,,1864
332,2023-08-07,affiliates,40764.8194923681,2072167.9457279616,67267.24699239337,1875
333,2023-08-07,facebook,39901.07258069513,2129683.736713794,51935.29795055551,1875
334,2023-08-07,google,21550.500492814077,969949.8784059827,62970.7096579322,1875
335,2023-08-07,tv,80000.0,3863047.1396956746,,1875
336,2023-08-14,affiliates,42378.03306221511,2419892.533042411,65691.05251874238,1952
337,2023-08-14,facebook,38753.718947150475,1830051.9265699773,49069.300095608334,1952
338,2023-08-14,google,20289.16864390782,1263538.425245704,71783.2606376566,1952
339,2023-08-14,tv,120000.0,5490242.923198255,,1952
340,2023-08-21,affiliates,43591.75534619104,2046025.0939370114,57414.51721517261,1632
341,2023-08-21,facebook,40405.84604170259,1714067.6853391551,64684.67385264526,1632
342,2023-08-21,google,19167.64442689577,1003561.8501553977,57442.76110923856,1632
343,2023-08-21,tv,120000.0,6607614.545045291,,1632
344,2023-08-28,affiliates,38538.13992011616,1920523.736427107,74848.16695920234,1774
345,2023-08-28,facebook,39646.1055450119,1824058.3931842765,42141.95772182652,1774
346,2023-08-28,google,20285.865390724903,1048216.9966396989,66344.50629665887,1774
347,2023-08-28,tv,120000.0,7929796.357215695,,1774
348,2023-09-04,affiliates,42088.321754138145,2247914.429790911,88193.6331193404,1534
349,2023-09-04,facebook,45053.86485174724,2133104.792841537,58773.01568203956,1534
350,2023-09-04,google,19482.388700963827,995919.054350299,59673.36388538559,1534
351,2023-09-04,tv,120000.0,7140857.542510161,,1534
352,2023-09-11,affiliates,42338.591180891344,2409522.8813872226,80101.09302926356,1480
353,2023-09-11,facebook,41640.96436239473,2187665.117376273,77297.58857129996,1480
354,2023-09-11,google,20583.928185325964,992218.196294716,62463.38413139437,1480
355,2023-09-11,tv,120000.0,7064355.437359592,,1480
356,2023-09-18,affiliates,42556.90372521459,2168508.109459236,65558.73344003658,1568
357,2023-09-18,facebook,40737.3466177458,1956749.4332073294,58983.715076146626,1568
358,2023-09-18,google,19832.881919683146,1006192.8720793249,66441.475935762,1568
359,2023-09-18,tv,120000.0,5215741.755852253,,1568
360,2023-09-25,affiliates,43154.90655952696,2137182.9789978513,67097.08964818744,1510
361,2023-09-25,facebook,39384.443530094,2012377.74502711,62880.60322617531,1510
362,2023-09-25,google,18640.14385902008,1001558.5620812748,63325.964766425815,1510
363,2023-09-25,tv,120000.0,8076724.5343732415,,1510
364,2023-10-02,affiliates,38599.75837012165,2160630.4740937194,48363.694001730015,1318
365,2023-10-02,facebook,42147.26349971954,1891039.1209321197,57988.42790651028,1318
366,2023-10-02,google,20607.896509716542,1049622.9329747031,60634.441179067064,1318
367,2023-10-02,tv,120000.0,6186326.3931823755,,1318
368,2023-10-09,affiliates,35602.388086759835,1858447.2304108965,51088.21049850588,1544
369,2023-10-09,facebook,38889.6009466136,2310267.2860729084,52581.52286263484,1544
370,2023-10-09,google,19441.078152728413,1008720.9353527535,68419.14043659759,1544
371,2023-10-09,tv,120000.0,5936879.749369931,,1544
372,2023-10-16,affiliates,39801.648272441234,2357578.394639895,58113.30821157775,1488
373,2023-10-16,facebook,37439.39120265821,2035290.9162384423,67675.47024328724,1488
